BẢNG GIÁ DỊCH VỤ CHĂM SÓC DA CÔNG NGHỆ CAO,,,
"- Chăm sóc toàn diện từ da mặt đến cổ – vai – gáy & vùng bụng giúp hỗ trợ nâng cao sức khỏe, lưu thông khí huyết, cải thiện hệ tiêu hóa và làm ấm cơ thể.",,,
Giá 1 buổi: 1.600.000 đ,,,
Giá trải nghiệm cho Khách hàng đăng ký lần đầu tiên: 249K,,,
,,,
Dịch vụ dưỡng sinh - massage,,Thời gian,Giá/buổi
1,Massage cổ vai gáy,60 phút,400000
2,Massage cổ vai gáy,90 phút,500000
3,Massage body,60 phút,600000
4,Massage chân,70 phút,350000
5,Thải độc đầu,90 phút,800000
7,Tẩy da chết body,30 phút,450000
8,Tẩy da chết & ủ trắng body,60 phút,550000
9,Ấm nóng cổ tử cung,60 phút,1200000
10,Ấm nóng cổ tử cung & thải độc bi,120 phút,3000000
11,Chuyển hóa bụng,60 phút,800000
,,,
Dịch vụ gội đầu,,Thời gian,Giá/buổi
1,Gội đầu thư giãn - dầu thường,30 phút,60000
2,Gội đầu thư giãn - dầu cặp,30 phút,120000
3,Gội dầu thư giãn - dầu cặp Weilaiya,30 phút,150000
4,Gội đầu dưỡng sinh,60 phút,350000
"Khuyến mãi:  Mua 10 buổi tặng 1 buổi, mua 30 buổi tặng 5 buổi",,,
,,,
Dịch vụ triệt lông,,,
"- Công nghệ Diode Laser hiện đại, an toàn và chuẩn y khoa",,,
- Giúp giảm lông rõ rệt chỉ sau 1-2 buổi liệu trình,,,
- Giá trải nghiệm 1 vùng cho khách hàng mới chỉ từ 49K/lần,,,
STT,Vùng triệt,Giá buổi lẻ,Giá Combo 10 buổi
1,Mép,129.000,899000
2,Mặt,249.000,1499000
3,Nách,199.000,1199000
4,1/2 tay,349.000,2399000
5,Cả tay,499.000,2999000
6,1/2 chân,599.000,2999000
7,Cả chân,699.000,3999000
8,Lưng,699.000,3999000
9,Ngực & bụng,699.000,3999000
10,Bikini (Bi),499.000,2999000
11,Toàn thân,2.499.000,11999000
12,Râu (nam),249.000,1499000
Khuyến mãi: Mua 10 buổi triệt tặng 5 buổi,,,
Bảo hành 2 năm,,,
