Tình huống,Hướng xử lý
Khách hỏi gói buffet,"Dr. Medispa có 3 gói buffet CNC: 6 triệu (12 dịch vụ cơ bản), 7 triệu (thêm peel mụn, vikim medic, peel tretinoin), 10 triệu (thêm peel ribo, nano collagen, meso căng bóng). Tối đa 10 buổi/3 tháng."
Khách hỏi đặt lịch,"Để đặt lịch tại Dr. Medispa, anh/chị có thể gọi hotline 0926.559.268, nhắn fanpage Facebook Dr. Medispa hoặc đến trực tiếp Số 102 Vũ Trọng Phụng, Thanh Xuân, Hà Nội."
Khách hỏi địa chỉ,"Dr. Medispa tọa lạc tại Số 102 Vũ Trọng Phụng, Thanh Xuân, Hà Nội, mở cửa từ 9h đến 21h tất cả các ngày trong tuần kể cả lễ Tết theo thông báo."
Khách phân vân chưa quyết định,"Dr. Medispa khuyên anh/chị đến soi da AI 17 chỉ số miễn phí trước, sau đó bác sĩ tư vấn phác đồ phù hợp tình trạng da. Anh/chị cũng có thể trải nghiệm dịch vụ ưu đãi khách mới chỉ 199.000đ để cảm nhận."
Khách than đắt,"Dr. Medispa có ưu đãi khách mới Chăm sóc da chuyên sâu chỉ 199.000đ/buổi (giá gốc 700.000đ), gói buffet CNC giúp tiết kiệm khi dùng nhiều dịch vụ, và combo triệt lông mua 10 tặng 5 buổi."
Khách hỏi khuyến mãi hiện tại,"Khuyến mãi nổi bật tại Dr. Medispa gồm: khách mới Chăm sóc chuyên sâu 199.000đ, triệt lông combo 10 buổi tặng 5 buổi, Ultherapy full-face mua 2 tặng 1 Ultherapy cổ. Hotline 0926.559.268 để biết chương trình mới."
Khách so sánh với spa khác,"Dr. Medispa tập trung vào giá trị riêng: spa y khoa với bác sĩ tư vấn, soi da AI 17 chỉ số miễn phí, quy trình chuẩn y khoa 10 bước, công nghệ Diode Laser triệt lông và bảo hành 2 năm."
Khách hỏi về bác sĩ tư vấn,"Tại Dr. Medispa, bác sĩ và chuyên viên trực tiếp soi da AI 17 chỉ số, đánh giá tình trạng da và thiết kế phác đồ cá nhân hóa, cam kết tư vấn rõ ràng trước khi bắt đầu liệu trình."
Khách hỏi về cam kết kết quả,"Dr. Medispa cam kết kết quả cụ thể cho từng dịch vụ: triệt lông Diode Laser bảo hành 2 năm; các dịch vụ khác cam kết theo phác đồ và được tư vấn rõ trước khi bắt đầu liệu trình."
Khách yêu cầu tư vấn chi tiết hơn,"Dr. Medispa khuyên anh/chị để lại số điện thoại hoặc gọi hotline 0926.559.268 để được chuyên viên tư vấn chi tiết, hoặc đến trực tiếp Số 102 Vũ Trọng Phụng để soi da AI miễn phí."
Khách hỏi an toàn dịch vụ,"Dr. Medispa là spa y khoa với mỹ phẩm chuẩn y khoa, công nghệ Diode Laser có đầu lạnh, kỹ thuật viên đào tạo bài bản và quy trình kiểm soát da kỹ lưỡng, đảm bảo an toàn cho từng khách."
Khách hỏi thời gian thấy hiệu quả,"Hiệu quả tại Dr. Medispa thường thấy rõ sau 2-3 buổi chăm sóc da; triệt lông giảm rõ rệt sau 4-6 buổi và sạch gần như hoàn toàn sau combo 10 buổi tặng 5 buổi."
Khách hỏi chính sách hủy lịch,"Để hủy lịch tại Dr. Medispa, anh/chị vui lòng báo trước tối thiểu 24 giờ qua hotline 0926.559.268; trường hợp hủy gấp sẽ được tư vấn chuyển lịch thay thế."
Khách hỏi thanh toán,"Dr. Medispa chấp nhận thanh toán bằng thẻ tín dụng, thẻ ATM nội địa, quẹt thẻ POS, chuyển khoản ngân hàng và ví điện tử tại quầy lễ tân Số 102 Vũ Trọng Phụng."
Khách hỏi ưu đãi khách lần đầu,"Khách lần đầu tại Dr. Medispa được ưu đãi đặc biệt: Chăm sóc da chuyên sâu chỉ 199.000đ (giá gốc 700.000đ), soi da AI 17 chỉ số miễn phí và tư vấn phác đồ riêng."
Khách hỏi ưu đãi sinh nhật,"Dr. Medispa có chương trình ưu đãi sinh nhật cho khách hàng thân thiết, gồm quà tặng và voucher dịch vụ, anh/chị vui lòng đăng ký thông tin tại lễ tân để nhận ưu đãi."
Khách hỏi quà tặng người thân,"Dr. Medispa có voucher quà tặng dịch vụ chăm sóc da, triệt lông và gội đầu dưỡng sinh, anh/chị có thể mua trực tiếp tại spa hoặc qua hotline 0926.559.268."
Khách hỏi nhóm bạn,"Dr. Medispa có ưu đãi cho nhóm bạn đi cùng, đặc biệt với gói buffet và combo triệt lông, hotline 0926.559.268 để được tư vấn mức giảm cụ thể."
Khách trễ hẹn,"Trễ hẹn dưới 15 phút Dr. Medispa vẫn phục vụ bình thường; trễ trên 15 phút lễ tân sẽ tư vấn chuyển lịch hoặc rút gọn dịch vụ tùy lịch khách kế tiếp, vui lòng báo trước qua hotline 0926.559.268."
Khách phản hồi không hài lòng,"Nếu không hài lòng với dịch vụ tại Dr. Medispa, anh/chị vui lòng phản hồi qua hotline 0926.559.268 hoặc email Drmedispa.vn@gmail.com để được CSKH xử lý và bù đắp thỏa đáng."
Khách kết thúc cuộc trò chuyện,"Dr. Medispa cảm ơn anh/chị đã quan tâm. Anh/chị có thể đặt lịch qua hotline 0926.559.268 hoặc fanpage Dr. Medispa, em luôn sẵn sàng hỗ trợ thêm khi anh/chị cần."
