Mục,Nội dung
Chính sách hủy lịch hoàn cọc,"Để hủy lịch và hoàn cọc tại Dr. Medispa, anh chị vui lòng báo trước tối thiểu 24 giờ qua hotline 0926.559.268; trường hợp hủy gấp sẽ được tư vấn chuyển lịch thay thế."
Chính sách đổi lịch,"Để đổi lịch tại Dr. Medispa, anh chị nên báo trước tối thiểu 12-24 giờ qua hotline 0926.559.268 để spa sắp xếp khung giờ phù hợp và không ảnh hưởng khách khác."
Chính sách thanh toán trước,"Tại Dr. Medispa, các gói combo và liệu trình lớn thường yêu cầu cọc trước để giữ chỗ; dịch vụ lẻ có thể thanh toán sau khi hoàn thành buổi tại quầy lễ tân."
Chính sách thẻ tín dụng,"Dr. Medispa chấp nhận thanh toán bằng thẻ tín dụng, thẻ ATM nội địa và quẹt thẻ POS tại quầy lễ tân Số 102 Vũ Trọng Phụng, Thanh Xuân, Hà Nội."
Chính sách chuyển khoản,"Dr. Medispa hỗ trợ thanh toán chuyển khoản qua ngân hàng và ví điện tử, thông tin tài khoản sẽ được lễ tân cung cấp khi anh chị thanh toán hóa đơn."
Chính sách hóa đơn VAT,"Dr. Medispa xuất hóa đơn VAT theo yêu cầu, anh chị vui lòng cung cấp thông tin doanh nghiệp khi thanh toán để lễ tân xử lý hóa đơn đúng quy định."
Chính sách giới thiệu khách,"Dr. Medispa có chương trình giới thiệu khách hàng với ưu đãi cho cả người giới thiệu và khách mới, hotline 0926.559.268 để biết chi tiết hiện tại."
Chính sách ưu đãi sinh nhật,"Dr. Medispa có chương trình ưu đãi sinh nhật cho khách hàng thân thiết, gồm quà tặng và voucher dịch vụ, anh chị vui lòng đăng ký thông tin tại lễ tân để nhận ưu đãi."
Chính sách quà tặng,"Dr. Medispa có voucher quà tặng dịch vụ chăm sóc da, triệt lông và gội đầu dưỡng sinh, anh chị có thể mua trực tiếp tại spa hoặc qua hotline 0926.559.268."
Chính sách cam kết kết quả,"Dr. Medispa cam kết kết quả cụ thể cho từng dịch vụ như triệt lông bảo hành 2 năm; các dịch vụ khác cam kết theo phác đồ và được tư vấn rõ trước khi bắt đầu liệu trình."
Chính sách phản hồi không hài lòng,"Nếu không hài lòng với dịch vụ tại Dr. Medispa, anh chị vui lòng phản hồi qua hotline 0926.559.268 hoặc email Drmedispa.vn@gmail.com để được CSKH xử lý và bù đắp thỏa đáng."
Chính sách lễ Tết,"Dr. Medispa thường xuyên có chương trình ưu đãi vào các dịp 8/3, 20/10, lễ Tết, hotline 0926.559.268 hoặc theo dõi fanpage Dr. Medispa để cập nhật chương trình hiện tại."
Chính sách nhóm bạn,"Dr. Medispa có ưu đãi cho nhóm bạn đi cùng, đặc biệt với gói buffet và combo triệt lông, hotline 0926.559.268 để được tư vấn mức giảm cụ thể."
Chính sách thời gian phục vụ,"Sau khi đặt lịch tại Dr. Medispa, anh chị thường được phục vụ ngay khung giờ đã chọn; trường hợp đông khách lễ tân sẽ thông báo để xếp khung giờ phù hợp nhất."
Chính sách đến sớm,"Anh chị nên đến Dr. Medispa trước giờ hẹn 10-15 phút để làm thủ tục, soi da AI miễn phí và chuẩn bị dịch vụ chu đáo nhất."
Chính sách trễ hẹn,"Trễ hẹn dưới 15 phút Dr. Medispa vẫn phục vụ bình thường; trễ trên 15 phút lễ tân sẽ tư vấn chuyển lịch hoặc rút gọn dịch vụ tùy lịch khách kế tiếp, vui lòng báo trước qua hotline 0926.559.268."
Chính sách khách lần đầu,"Khách lần đầu tại Dr. Medispa được ưu đãi đặc biệt như Chăm sóc da chuyên sâu chỉ 199.000đ thay vì 700.000đ, soi da AI 17 chỉ số miễn phí và tư vấn phác đồ riêng."
Chính sách khám da miễn phí,"Dr. Medispa có dịch vụ khám và soi da AI 17 chỉ số miễn phí cho mọi khách hàng đến spa, kèm tư vấn phác đồ điều trị cá nhân hóa bởi bác sĩ và chuyên viên."
